epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,9148.65,1.14963,0.70451,1.05529,0.73119,0.62247,0.6686,0.3944,1.22246,0.72817,1.09589,0.000224579,0.000224579,0.000224579
69,9283.1,1.14469,0.70253,1.05236,0.75852,0.62457,0.6727,0.39107,1.22166,0.72826,1.09351,0.000217976,0.000217976,0.000217976
70,9417.22,1.14227,0.70153,1.04769,0.74341,0.62641,0.66792,0.39484,1.21823,0.73138,1.08892,0.000211372,0.000211372,0.000211372
71,9550.29,1.14366,0.69966,1.0496,0.75846,0.62287,0.67519,0.39922,1.21162,0.72745,1.08646,0.000204769,0.000204769,0.000204769
72,9683.56,1.13696,0.6925,1.04676,0.75501,0.62211,0.67584,0.40489,1.20734,0.72428,1.08733,0.000198166,0.000198166,0.000198166
73,9817.33,1.13246,0.69024,1.03881,0.76961,0.62525,0.6818,0.40628,1.20574,0.72036,1.08655,0.000191562,0.000191562,0.000191562
74,9950.51,1.12888,0.689,1.0451,0.78454,0.6072,0.67522,0.40212,1.21298,0.72609,1.09257,0.000184959,0.000184959,0.000184959
75,10084.6,1.12013,0.68247,1.042,0.77653,0.62317,0.6806,0.40183,1.21454,0.72336,1.09191,0.000178356,0.000178356,0.000178356
76,10218.8,1.1125,0.68123,1.03533,0.76266,0.63412,0.68256,0.40879,1.20665,0.72419,1.08523,0.000171752,0.000171752,0.000171752
77,10352.3,1.11338,0.67795,1.03432,0.79639,0.62329,0.68596,0.40835,1.20925,0.72429,1.08459,0.000165149,0.000165149,0.000165149
78,10486.1,1.10965,0.67436,1.03352,0.76829,0.62827,0.68263,0.40924,1.20987,0.72202,1.0877,0.000158546,0.000158546,0.000158546
79,10620.2,1.10245,0.67536,1.03219,0.78301,0.62318,0.68335,0.41049,1.20322,0.72069,1.08257,0.000151943,0.000151943,0.000151943
80,10753.7,1.10629,0.67228,1.03144,0.77472,0.62972,0.68247,0.40509,1.20806,0.72136,1.08615,0.000145339,0.000145339,0.000145339
81,10887.7,1.09326,0.66329,1.02963,0.80106,0.62499,0.68392,0.40485,1.20123,0.71756,1.08567,0.000138736,0.000138736,0.000138736
82,11022.9,1.09409,0.66392,1.0274,0.7774,0.63149,0.69458,0.41383,1.20071,0.71215,1.08221,0.000132133,0.000132133,0.000132133
83,11157.2,1.08419,0.65723,1.02492,0.794,0.62035,0.68461,0.40465,1.20549,0.71889,1.08626,0.000125529,0.000125529,0.000125529
84,11292.4,1.08406,0.65618,1.02685,0.7593,0.62542,0.68262,0.40998,1.2104,0.71452,1.08755,0.000118926,0.000118926,0.000118926
